ion_id,frame,ionic_force,ionic_force_magnitude,motion_component_ionic,cosine_ionic_motion,radial_force,axial_force,motion_vector
1311,1661,"[-4.8687839806079865, -0.9045186089351773, -23.256278157234192]",23.77767198634852,18.550020034529233,0.7801445004868164,4.952091615038536,-23.256278157234192,"[4.610984802246094, 0.855712890625, -9.322265625]"
1314,235,"[0.8448121547698975, 4.188019245862961, -19.021082878112793]",19.49499439950166,18.34459928307778,0.9409902309870226,4.272377883634068,-19.021082878112793,"[0.8807525634765625, 0.0897674560546875, -2.4881744384765625]"
1315,571,"[0.4263565391302109, 0.9799481071531773, -9.95785653591156]",10.015037942063364,3.8180108439501326,0.38122779624372755,1.0686805842590132,-9.95785653591156,"[-3.559295654296875, -4.857051849365234, -3.254852294921875]"
1316,382,"[8.828649997711182, 4.516329884529114, -25.980376839637756]",27.80867269643703,25.97169824176037,0.9339423900331634,9.916768445818244,-25.980376839637756,"[0.25720977783203125, 2.8242034912109375, -6.6334991455078125]"
1312,458,"[-1.4687292575836182, 11.6646026968956, -8.909754246473312]",14.75140137210887,7.709883901823382,0.5226543368551276,11.756705393455524,-8.909754246473312,"[2.183765411376953, -0.11290359497070312, -6.182342529296875]"
2280,1091,"[1.1666844189167023, -0.23231599852442741, -5.266183495521545]",5.398871351034114,4.793826133259241,0.8879311658984093,1.1895895327857442,-5.266183495521545,"[2.133941650390625, 0.8417701721191406, -3.00787353515625]"
2299,805,"[0.9242106378078461, -2.9564117789268494, -15.18106460571289]",15.493845825760733,14.718300408755425,0.949944937769043,3.097504787666131,-15.18106460571289,"[0.79510498046875, 1.039093017578125, -8.307388305664062]"
2203,849,"[1.5778134167194366, 0.2957301139831543, -11.193310260772705]",11.307835605110991,10.36565633389998,0.9166790795238339,1.6052885965758157,-11.193310260772705,"[3.3514785766601562, -2.570159912109375, -7.852302551269531]"
2271,1120,"[-0.13584846258163452, 0.43907810747623444, -6.871771454811096]",6.887124749589433,4.441969227689196,0.644967150907786,0.45961330404015227,-6.871771454811096,"[6.224758148193359, -1.0586662292480469, -5.681121826171875]"
2313,1716,"[1.087475761771202, 3.1183318132534623, -15.425192475318909]",15.774763381129478,12.745757184075886,0.8079840487067442,3.302513713822924,-15.425192475318909,"[2.0299949645996094, -0.7052001953125, -3.1509323120117188]"
2265,1000,"[2.5137711465358734, 1.108276903629303, -9.801881909370422]",10.179597832798583,5.816309573598565,0.5713692887609432,2.747239172746784,-9.801881909370422,"[-1.4665679931640625, -2.2283973693847656, -3.0184402465820312]"
2188,1416,"[-0.27004966139793396, -0.8491531237959862, -12.46112835407257]",12.492946317980598,9.870933634524283,0.7901205514921202,0.8910599571710202,-12.46112835407257,"[4.075492858886719, -0.008197784423828125, -5.528312683105469]"
2246,1295,"[1.5510472059249878, -0.22714334726333618, -6.0891382694244385]",6.287682116597733,5.731653786806106,0.9115686322112458,1.5675909974268492,-6.0891382694244385,"[-1.1695785522460938, -2.016265869140625, -8.708511352539062]"
2241,1331,"[-11.643635153770447, -4.355732459574938, -15.15352576971054]",19.600407855623697,4.009511085420132,0.20456263537749464,12.431679084239333,-15.15352576971054,"[7.1631927490234375, -1.2690773010253906, -8.000381469726562]"
2315,1489,"[-2.321841239929199, 0.8044129125773907, -8.922043204307556]",9.254235885090019,7.305011959358992,0.7893695438570436,2.457239686590871,-8.922043204307556,"[2.399993896484375, -1.1211166381835938, -6.386924743652344]"
2253,1585,"[0.7694130539894104, -2.724602699279785, -9.760484337806702]",10.16280034366227,9.48003734604011,0.9328174347095243,2.8311581228486697,-9.760484337806702,"[-0.38761138916015625, 0.3600883483886719, -5.430809020996094]"
2434,1899,"[-4.768566459417343, 2.1337780952453613, -15.561346173286438]",16.41486307474069,4.763653325926038,0.2902036589788179,5.224197071094177,-15.561346173286438,"[2.592041015625, -1.9476737976074219, -2.273590087890625]"
2194,1638,"[15.749849557876587, -1.8368313014507294, -24.453032732009888]",29.144167857711796,16.561101192007353,0.5682475228959109,15.856598321384524,-24.453032732009888,"[-3.30633544921875, -0.3087425231933594, -7.927162170410156]"
2197,1811,"[5.662256270647049, -1.5123985558748245, -16.623090744018555]",17.625993343643625,17.337249751131594,0.9836183080929076,5.860758949683401,-16.623090744018555,"[2.7530288696289062, 0.4515495300292969, -6.084373474121094]"
2295,1842,"[-14.291392087936401, 5.032982435077429, -20.26094913482666]",25.299819363919624,20.205742170440796,0.7986516377763727,15.151725974387508,-20.26094913482666,"[-0.4585113525390625, -0.9831390380859375, -6.079475402832031]"
2201,2151,"[-3.8896126747131348, -3.2831126153469086, -14.12417459487915]",15.013334845761907,13.71154428081119,0.9132910457053984,5.089981847152216,-14.12417459487915,"[0.8488235473632812, -0.8502769470214844, -5.525993347167969]"
2296,2079,"[-2.405621513724327, 6.354836747050285, -11.716306209564209]",13.544105586757171,5.04002889798417,0.3721197288148793,6.794921997267811,-11.716306209564209,"[0.301971435546875, -4.288036346435547, -5.335075378417969]"
2182,1878,"[-4.899996817111969, 0.9272459018975496, -18.621261835098267]",19.277477690340625,12.679872319363124,0.6577557771324323,4.986958368614403,-18.621261835098267,"[-0.5215492248535156, -2.9914894104003906, -2.8453445434570312]"
2308,1940,"[1.7036486864089966, -2.3211042881011963, -12.236843466758728]",12.571009585268026,10.76943638811834,0.8566882647785942,2.879226278524295,-12.236843466758728,"[1.6600151062011719, 0.6701736450195312, -2.8816146850585938]"
2171,2065,"[-0.3322385251522064, -1.1200328767299652, -7.79157292842865]",7.878671511211362,5.445791645122411,0.6912068408199328,1.1682705519490402,-7.79157292842865,"[0.9576072692871094, 1.3629570007324219, -2.122589111328125]"
2230,1988,"[1.6032265424728394, -1.3929197937250137, -9.74462890625]",9.973382245695962,8.752363809112206,0.8775722812478495,2.1238081123868864,-9.74462890625,"[4.11572265625, 0.07569503784179688, -5.5142669677734375]"
2327,2343,"[1.0152524709701538, -1.3652292490005493, -9.647488355636597]",9.79635748910182,9.73915012031687,0.9941603428775856,1.7013490183197588,-9.647488355636597,"[2.3800048828125, -1.5604438781738281, -10.950233459472656]"
2193,2113,"[0.38347136974334717, -2.326786182820797, -15.348899006843567]",15.52899497566607,15.438203994030351,0.9941534541174114,2.358173918942073,-15.348899006843567,"[-0.1170806884765625, -1.1631393432617188, -4.617393493652344]"
