start_frame,frame,permeated_ion,ionic_force_magnitude,glu_force_magnitude,asn_force_magnitude,residue_force_magnitude,total_force_magnitude,cosine_total_motion,cosine_glu_motion,cosine_asn_motion,cosine_residue_motion,cosine_ionic_motion,motion_component_total,motion_component_glu,motion_component_asn,motion_component_residue,motion_component_ionic,motion_component_percent_total,motion_component_percent_glu,motion_component_percent_asn,motion_component_percent_residue,motion_component_percent_ionic
0,1661,1311,23.77767198634852,4.544332468481925,7.424941657188557,8.100958083914994,23.2874400383379,0.7276770300546654,-0.8199066829212034,-0.08807299746389953,-0.7377936883927151,0.7801445004868164,16.945735204673827,-3.725928560324139,-0.6539368677431698,-5.976835744246426,18.550020034529233,72.76770300546654,81.99066829212033,8.807299746389953,73.77936883927151,78.01445004868164
159,235,1314,19.49499439950166,0.8730380191946577,4.9212742797530735,6.870100618269215,18.004229778236475,0.8978412320811001,-0.9362184965173819,-0.9894856572620704,-0.999838999231245,0.9409902309870226,16.16493984676307,-0.8173543417329356,-4.869530315268392,-6.868994526788249,18.34459928307778,89.78412320811002,93.62184965173819,98.94856572620704,99.9838999231245,94.09902309870226
172,571,1315,10.015037942063364,4.998081248054844,3.382888875704837,7.334772324617604,8.300275322772446,0.6254627629929277,-0.7500979484741283,0.8898333248191375,-0.1418003841527233,0.38122779624372755,5.191513136983269,-3.749050490472949,3.010207255762109,-1.0400735333035396,3.8180108439501326,62.54627629929277,75.00979484741282,88.98333248191375,14.18003841527233,38.122779624372754
233,382,1316,27.80867269643703,3.450526015697196,30.798944758545723,31.680666257993863,28.500522110389788,0.36140653365261954,-0.7647374369293138,-0.4893923406102093,-0.6353775930111192,0.9339423900331634,10.300274903205814,-2.638746421302191,-15.072767663709229,-20.12918547199272,25.97169824176037,36.140653365261954,76.47374369293138,48.93923406102093,63.53775930111192,93.39423900331634
364,458,1312,14.75140137210887,3.563957722092586,17.41687489183386,15.315663000920413,14.117356619212138,0.7065596971668394,-0.9953054132374093,0.1819222544032645,-0.14821338424597574,0.5226543368551276,9.974755217666804,-3.5472264133480174,3.1685171449820295,-2.269986245337291,7.709883901823382,70.65596971668394,99.53054132374093,18.19222544032645,14.821338424597574,52.26543368551276
460,1091,2280,5.398871351034114,4.706469830819386,2.2296184766850184,5.51546244856833,4.779141096207229,0.7471855248077123,-0.7257797300371499,-0.28481272575936095,-0.8928013357902167,0.8879311658984093,3.5709050480997035,-3.4158604032400843,-0.6350237157480942,-4.924212241582585,4.793826133259241,74.71855248077122,72.57797300371499,28.481272575936096,89.28013357902167,88.79311658984092
524,805,2299,15.493845825760733,4.4268039668511925,9.095706157892304,7.256327928659227,16.26841942745805,0.8296141645761641,-0.506401079853931,-0.4815646662940131,-0.8478233818548832,0.949944937769043,13.496511192285247,-2.2417383091151093,-4.3801707006338075,-6.152084484323905,14.718300408755425,82.96141645761641,50.6401079853931,48.156466629401315,84.78233818548831,94.99449377690429
774,849,2203,11.307835605110991,5.368155048942122,15.014220481759645,13.876904103876395,21.59123267425646,0.4744503890281596,-0.9333707278822418,0.04269185387006734,-0.3212629140598513,0.9166790795238339,10.243968741898488,-5.01047878541584,0.6409849067802549,-4.4581346505404404,10.36565633389998,47.44503890281596,93.33707278822419,4.269185387006734,32.12629140598513,91.66790795238339
795,1120,2271,6.887124749589433,4.995880929347212,10.120030575109741,14.06097154416717,11.293291570249098,0.41808295482201246,-0.6300449263488771,0.006668234339081214,-0.22293093309514964,0.644967150907786,4.721532709356268,-3.147629432178324,0.06748273539349858,-3.134625506565534,4.441969227689196,41.808295482201245,63.00449263488771,0.6668234339081214,22.293093309514962,64.4967150907786
863,1716,2313,15.774763381129478,4.97150593148234,7.734572046397803,12.155153100168034,14.062337346157388,0.3398242205056225,-0.9495656419268929,-0.8906356100909272,-0.9914044097508448,0.8079840487067442,4.778722827145039,-4.7207712211713835,-6.8886852933357385,-12.05067238470324,12.745757184075886,33.98242205056225,94.95656419268929,89.06356100909272,99.14044097508447,80.79840487067442
